ASSESS_ID,AU_EPACat,PARAM_NAME,R3172ParameterName
UT16020204-005_00,5,TEMPERATURE,Max. Temperature
UT16020204-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-006_00,5,TEMPERATURE,Max. Temperature
UT16020204-006_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-006_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-006_00,5,SELENIUM,Selenium
UT16020204-007_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-007_00,5,TEMPERATURE,Max. Temperature
UT16020204-010_00,5,CADMIUM,Cadmium
UT16020204-012_00,4A,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-013_00,5,CADMIUM,Cadmium
UT16020204-017_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-017_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-019_00,5,TEMPERATURE,Max. Temperature
UT16020204-019_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-019_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-020_00,5,CADMIUM,Cadmium
UT16020204-020_00,5,COPPER,Copper
UT16020204-021_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-021_00,5,TEMPERATURE,Max. Temperature
UT16020204-021_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-021_00,5,CADMIUM,Cadmium
UT16020204-021_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-022_00,5,PH,pH
UT16020204-022_00,5,COPPER,Copper
UT16020204-022_00,5,CADMIUM,Cadmium
UT16020204-022_00,5,ZINC,Zinc
UT16020204-023_00,5,SELENIUM,Selenium
UT16020204-023_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-024_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-024_00,5,SELENIUM,Selenium
UT16020204-024_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-025_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-025_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-026_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-026_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020204-029_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020204-033_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16020101-016_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16020204-034_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020204-034_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020204-035_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16020304-001_00,5,PH,pH
UT16020304-002_00,5,TEMPERATURE,Max. Temperature
UT16020309-002_00,5,SELENIUM,Selenium
UT16020309-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16020309-002_00,5,PH,pH
UT16020309-002_00,5,ALUMINUM,Aluminum
UT16030001-004_00,5,COPPER,Copper
UT16030001-004_00,5,TEMPERATURE,Max. Temperature
UT16020202-012_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030001-005_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030001-007_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16020202-022_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030001-007_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030001-008_00,5,TEMPERATURE,Max. Temperature
UT16030001-009_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030001-012_00,5,TEMPERATURE,Max. Temperature
UT16030001-014_00,5,TEMPERATURE,Max. Temperature
UT16030002-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16030002-001_00,5,TEMPERATURE,Max. Temperature
UT16030002-002_00,5,TEMPERATURE,Max. Temperature
UT16030002-002_00,5,PH,pH
UT16030002-002_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030001-005_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030002-003_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030001-007_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030002-004_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16030002-004_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030002-003_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030002-005_00,5,TEMPERATURE,Max. Temperature
UT16030002-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030002-006_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030002-009_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030003-003_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030003-005_00,5,BORON,Boron
UT16030003-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030003-005_00,5,COPPER,Copper
UT16030003-012_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030002-004_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030003-012_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030003-017_00,5,TEMPERATURE,Max. Temperature
UT16030003-018_00,5,ALUMINUM,Aluminum
UT16030003-018_00,5,TEMPERATURE,Max. Temperature
UT16030003-021_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16030003-026_00,5,PH,pH
UT16030003-026_00,5,TEMPERATURE,Max. Temperature
UT16030003-027_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030003-027_00,5,COPPER,Copper
UT16030004-001_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030004-003_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16030004-003_00,5,TEMPERATURE,Max. Temperature
UT16030004-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030003-012_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030004-005_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16030004-009_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16030004-011_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030005-022_00,5,TEMPERATURE,Max. Temperature
UT16030005-022_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030005-025_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030005-026_00,4A,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030005-026_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030005-027_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT16030005-027_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16030005-027_00,5,SEDIMENTATION/SILTATION,SEDIMENTATION/SILTATION
UT16030006-001_00,5,TEMPERATURE,Max. Temperature
UT16030006-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16030006-002_00,5,ALUMINUM,Aluminum
UT16030006-002_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16030006-002_00,5,TEMPERATURE,Max. Temperature
UT16030007-002_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT16030007-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16030007-002_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT16030007-002_00,5,TEMPERATURE,Max. Temperature
UT16030007-002_00,5,ALUMINUM,Aluminum
